date,id,name,y_items,y_actual_cost,total_list_size,Items_per_patient
01/10/2014,P84009,AILSA CRAIG MEDICAL CENTRE,357,2063.74,9342,38.21451509
01/11/2014,P84009,AILSA CRAIG MEDICAL CENTRE,355,1518.7,9342,38.00042817
01/12/2014,P84009,AILSA CRAIG MEDICAL CENTRE,438,2535.63,9342,46.88503532
01/01/2015,P84009,AILSA CRAIG MEDICAL CENTRE,371,2168.6,9336,39.7386461
01/02/2015,P84009,AILSA CRAIG MEDICAL CENTRE,299,2090.2,9336,32.02656384
01/03/2015,P84009,AILSA CRAIG MEDICAL CENTRE,382,2175.14,9336,40.91688089
01/04/2015,P84009,AILSA CRAIG MEDICAL CENTRE,288,1696.5,9352,30.79555175
01/05/2015,P84009,AILSA CRAIG MEDICAL CENTRE,284,1823.12,9352,30.36783576
01/06/2015,P84009,AILSA CRAIG MEDICAL CENTRE,305,1884.28,9352,32.61334474
01/07/2015,P84009,AILSA CRAIG MEDICAL CENTRE,296,1721.9,9226,32.08324301
01/08/2015,P84009,AILSA CRAIG MEDICAL CENTRE,222,1136.98,9226,24.06243226
01/09/2015,P84009,AILSA CRAIG MEDICAL CENTRE,282,2120.93,9226,30.56579233
01/10/2015,P84009,AILSA CRAIG MEDICAL CENTRE,361,2665.67,9540,37.84067086
01/11/2015,P84009,AILSA CRAIG MEDICAL CENTRE,317,2149.96,9540,33.22851153
01/12/2015,P84009,AILSA CRAIG MEDICAL CENTRE,321,1969.23,9540,33.64779874
01/01/2016,P84009,AILSA CRAIG MEDICAL CENTRE,269,1432.27,9569,28.11161041
01/02/2016,P84009,AILSA CRAIG MEDICAL CENTRE,292,1999.48,9569,30.51520535
01/03/2016,P84009,AILSA CRAIG MEDICAL CENTRE,339,2000.18,9569,35.42689936
01/04/2016,P84009,AILSA CRAIG MEDICAL CENTRE,290,1871.26,9570,30.3030303
01/05/2016,P84009,AILSA CRAIG MEDICAL CENTRE,293,1678.19,9570,30.61650993
01/06/2016,P84009,AILSA CRAIG MEDICAL CENTRE,249,1125.54,9570,26.01880878
01/07/2016,P84009,AILSA CRAIG MEDICAL CENTRE,283,2737.93,9606,29.4607537
01/08/2016,P84009,AILSA CRAIG MEDICAL CENTRE,258,1371.51,9606,26.85821362
01/09/2016,P84009,AILSA CRAIG MEDICAL CENTRE,281,1869.44,9606,29.25255049
01/10/2016,P84009,AILSA CRAIG MEDICAL CENTRE,312,1488.31,9600,32.5
01/11/2016,P84009,AILSA CRAIG MEDICAL CENTRE,345,1821.56,9600,35.9375
01/12/2016,P84009,AILSA CRAIG MEDICAL CENTRE,373,2075.54,9600,38.85416667
01/01/2017,P84009,AILSA CRAIG MEDICAL CENTRE,359,1511.74,10080,35.61507937
01/02/2017,P84009,AILSA CRAIG MEDICAL CENTRE,316,1654.86,10080,31.34920635
01/03/2017,P84009,AILSA CRAIG MEDICAL CENTRE,347,2314.94,10080,34.42460317
01/04/2017,P84009,AILSA CRAIG MEDICAL CENTRE,279,1385.11,10184,27.39591516
01/05/2017,P84009,AILSA CRAIG MEDICAL CENTRE,271,1739.37,10185,26.6077565
01/06/2017,P84009,AILSA CRAIG MEDICAL CENTRE,288,1697.3,10226,28.16350479
01/07/2017,P84009,AILSA CRAIG MEDICAL CENTRE,298,2639.8,10230,29.13000978
01/08/2017,P84009,AILSA CRAIG MEDICAL CENTRE,235,1486.68,10229,22.97389774
01/09/2017,P84009,AILSA CRAIG MEDICAL CENTRE,247,1543.63,10231,24.14231258
01/10/2017,P84009,AILSA CRAIG MEDICAL CENTRE,308,1878.68,10477,29.39772836
01/11/2017,P84009,AILSA CRAIG MEDICAL CENTRE,324,1636.58,10489,30.88950329
01/12/2017,P84009,AILSA CRAIG MEDICAL CENTRE,333,2119.6,10520,31.6539924
01/01/2018,P84009,AILSA CRAIG MEDICAL CENTRE,361,1186.42,10508,34.35477731
01/02/2018,P84009,AILSA CRAIG MEDICAL CENTRE,396,1854.83,10522,37.63543053
01/03/2018,P84009,AILSA CRAIG MEDICAL CENTRE,369,1912.29,10533,35.0327542
01/04/2018,P84009,AILSA CRAIG MEDICAL CENTRE,310,1747.88,10571,29.3255132
01/05/2018,P84009,AILSA CRAIG MEDICAL CENTRE,326,1487.32,10582,30.80703081
01/06/2018,P84009,AILSA CRAIG MEDICAL CENTRE,294,1278.86,10584,27.77777778
01/07/2018,P84009,AILSA CRAIG MEDICAL CENTRE,289,1415.53,10588,27.295051
01/08/2018,P84009,AILSA CRAIG MEDICAL CENTRE,257,2022.72,10545,24.37174016
01/09/2018,P84009,AILSA CRAIG MEDICAL CENTRE,318,1839.65,10559,30.1164883
01/10/2018,P84009,AILSA CRAIG MEDICAL CENTRE,341,2322.62,10797,31.58284709
01/11/2018,P84009,AILSA CRAIG MEDICAL CENTRE,362,1612.07,10792,33.54336546
01/12/2018,P84009,AILSA CRAIG MEDICAL CENTRE,350,1795.43,10829,32.32062056
01/01/2019,P84009,AILSA CRAIG MEDICAL CENTRE,416,1699.66,10852,38.33394766
01/02/2019,P84009,AILSA CRAIG MEDICAL CENTRE,298,1309.72,10828,27.52124123
01/03/2019,P84009,AILSA CRAIG MEDICAL CENTRE,297,1819.17,10829,27.42635516
01/04/2019,P84009,AILSA CRAIG MEDICAL CENTRE,287,1579.69,10827,26.50780456
01/05/2019,P84009,AILSA CRAIG MEDICAL CENTRE,262,1404.55,10817,24.2211334
01/06/2019,P84009,AILSA CRAIG MEDICAL CENTRE,291,2037.67,10859,26.7980477
01/07/2019,P84009,AILSA CRAIG MEDICAL CENTRE,270,1659.73,10867,24.84586362
01/08/2019,P84009,AILSA CRAIG MEDICAL CENTRE,272,1627.86,10862,25.04142883
01/09/2019,P84009,AILSA CRAIG MEDICAL CENTRE,280,1426.68,10850,25.80645161
01/10/2014,P84623,ALEESHAN MEDICAL CENTRE,25,46.11,1297,19.27525058
01/11/2014,P84623,ALEESHAN MEDICAL CENTRE,29,38.81,1297,22.35929067
01/12/2014,P84623,ALEESHAN MEDICAL CENTRE,58,83.11,1297,44.71858134
01/01/2015,P84623,ALEESHAN MEDICAL CENTRE,40,92.6,1304,30.67484663
01/02/2015,P84623,ALEESHAN MEDICAL CENTRE,30,70.87,1304,23.00613497
01/03/2015,P84623,ALEESHAN MEDICAL CENTRE,31,60.54,1304,23.77300613
01/04/2015,P84623,ALEESHAN MEDICAL CENTRE,26,65.2,1298,20.03081664
01/05/2015,P84623,ALEESHAN MEDICAL CENTRE,28,67.05,1298,21.57164869
01/06/2015,P84623,ALEESHAN MEDICAL CENTRE,34,82.9,1298,26.19414484
01/07/2015,P84623,ALEESHAN MEDICAL CENTRE,28,92.09,1299,21.55504234
01/08/2015,P84623,ALEESHAN MEDICAL CENTRE,13,40.77,1299,10.00769823
01/09/2015,P84623,ALEESHAN MEDICAL CENTRE,18,43.26,1299,13.85681293
01/10/2015,P84623,ALEESHAN MEDICAL CENTRE,21,52.74,1273,16.49646504
01/11/2015,P84623,ALEESHAN MEDICAL CENTRE,26,47.17,1273,20.42419482
01/12/2015,P84623,ALEESHAN MEDICAL CENTRE,22,52.44,1273,17.282011
01/01/2016,P84623,ALEESHAN MEDICAL CENTRE,37,84.57,1270,29.13385827
01/02/2016,P84623,ALEESHAN MEDICAL CENTRE,33,51.74,1270,25.98425197
01/03/2016,P84623,ALEESHAN MEDICAL CENTRE,41,87.06,1270,32.28346457
01/04/2016,P84623,ALEESHAN MEDICAL CENTRE,22,24.46,1256,17.51592357
01/05/2016,P84623,ALEESHAN MEDICAL CENTRE,27,68.18,1256,21.49681529
01/06/2016,P84623,ALEESHAN MEDICAL CENTRE,21,48.76,1256,16.71974522
01/07/2016,P84623,ALEESHAN MEDICAL CENTRE,41,66.39,1247,32.87890938
01/08/2016,P84623,ALEESHAN MEDICAL CENTRE,20,35.89,1247,16.03849238
01/09/2016,P84623,ALEESHAN MEDICAL CENTRE,35,55.9,1247,28.06736167
01/10/2016,P84623,ALEESHAN MEDICAL CENTRE,33,43.26,1250,26.4
01/11/2016,P84623,ALEESHAN MEDICAL CENTRE,23,47.18,1250,18.4
01/12/2016,P84623,ALEESHAN MEDICAL CENTRE,36,55.3,1250,28.8
01/01/2017,P84623,ALEESHAN MEDICAL CENTRE,37,54.28,1206,30.67993367
01/02/2017,P84623,ALEESHAN MEDICAL CENTRE,31,41.91,1206,25.70480929
01/03/2017,P84623,ALEESHAN MEDICAL CENTRE,35,59.58,1206,29.02155887
01/04/2017,P84623,ALEESHAN MEDICAL CENTRE,44,87.74,1200,36.66666667
01/05/2017,P84623,ALEESHAN MEDICAL CENTRE,36,129.14,1183,30.43110735
01/06/2017,P84623,ALEESHAN MEDICAL CENTRE,52,130.76,1187,43.80791912
01/07/2017,P84623,ALEESHAN MEDICAL CENTRE,54,114.4,1178,45.84040747
01/08/2017,P84623,ALEESHAN MEDICAL CENTRE,1,1.18,0,#DIV/0!
01/10/2014,P84665,AL-SHIFA MEDICAL CENTRE,116,388.59,2749,42.1971626
01/11/2014,P84665,AL-SHIFA MEDICAL CENTRE,96,329.92,2749,34.92178974
01/12/2014,P84665,AL-SHIFA MEDICAL CENTRE,154,295.93,2749,56.02037104
01/01/2015,P84665,AL-SHIFA MEDICAL CENTRE,124,355.96,2775,44.68468468
01/02/2015,P84665,AL-SHIFA MEDICAL CENTRE,113,394.17,2775,40.72072072
01/03/2015,P84665,AL-SHIFA MEDICAL CENTRE,121,580.46,2775,43.6036036
